electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
TRC6,(TRC6),e,AdTech,150,99,55,74: TRC6
BRA2,(BRA2),i,AdTech,134,129,23,76: BRA2
BRA1,(BRA1),i,AdTech,126,134,23,75: BRA1
BRA3,(BRA3),i,AdTech,143,125,28,77: BRA3
BRA4,(BRA4),e,AdTech,150,120,35,78: BRA4
BRB4,(BRB4),e,AdTech,149,104,39,82: BRB4
BRB1,(BRB1),e,AdTech,123,85,46,79: BRB1
BRB2,(BRB2),e,AdTech,131,92,43,80: BRB2
BRB3,(BRB3),e,AdTech,139,98,41,81: BRB3
BRC1,(BRC1),e,AdTech,128,45,52,83: BRC1
BRC2,(BRC2),e,AdTech,134,54,51,84: BRC2
BRC3,(BRC3),e,AdTech,139,62,49,85: BRC3
BRC4,(BRC4),e,AdTech,144,72,46,86: BRC4
BRC5,(BRC5),e,AdTech,150,82,45,87: BRC5
BRC6,(BRC6),e,AdTech,151,93,46,88: BRC6
